Test Case,Sub Test,Step Type,Comparison type,Lower Limit,Higher Limit
RIB - 24V Test,24V Test,Boolean,EQ,True,True
RIB - 24V Test,TimerTest,Boolean,EQ,False,False
RIB - UDP Init,UDP Read Test,String,EQ,F0,F0
RIB - Relay Init,Handle Out Test,Numeric,NEQ,0,0
RIB - eSTOP 1,eSTOP 1 Test,String,EQ,F1,F1
RIB - eSTOP 1,eSTOP 1 Error Test,String,EQ,FF,FF
RIB - eSTOP 2,eSTOP 2 Test,String,EQ,F4,F4
RIB - eSTOP 2,eSTOP 2 Error Test,String,EQ,FF,FF
RIB - CJB Earthed,CJB Earthed Test,String,EQ,7FC5,7FC5
RIB - CJB Earthed,CJB Earthed Error Test,String,EQ,C5,C5
RIB - Door SW,Door SW Test,String,EQ,C2,C2
RIB - Door SW,Door SW Error Test,String,EQ,C0,C0
